#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  40800      8.90e+00      7.60e-02      3.31e-01    3.3e-03
  40900      7.64e+00      1.77e-02      2.96e-01    3.3e-03
  41000      7.51e+00      2.73e-02      2.89e-01    3.3e-03
  41100      6.13e+00      4.19e-03      2.38e-01    3.3e-03
  41200      2.93e+00      2.69e-02      1.11e-01    3.3e-03
  41300      5.92e+00      1.61e-02      2.29e-01    3.3e-03
  41400      5.79e+00      7.23e-03      2.24e-01    3.3e-03
  41500      6.80e+00      6.62e-03      2.64e-01    3.3e-03
  41600      7.06e+00      1.35e-02      2.74e-01    3.3e-03
  41700      2.97e+00      9.84e-03      1.15e-01    3.3e-03
  41800      5.76e+00      1.98e-01      1.39e-01    3.3e-03
  41900      5.97e+00      1.06e-02      2.31e-01    3.3e-03
  42000      5.92e+00      2.00e-02      2.28e-01    3.3e-03
  42100      6.41e+00      7.73e-03      2.48e-01    3.3e-03
  42200      6.98e+00      1.01e-02      2.70e-01    3.3e-03
  42300      6.22e+00      2.61e-03      2.41e-01    3.3e-03
  42400      6.42e+00      3.79e-02      2.44e-01    3.3e-03
  42500      3.02e+00      8.13e-03      1.17e-01    3.3e-03
  42600      5.98e+00      1.75e-03      2.32e-01    3.3e-03
  42700      2.66e+00      1.71e-02      1.02e-01    3.3e-03
  42800      5.97e+00      1.25e-02      2.31e-01    3.3e-03
  42900      6.23e+00      7.41e-03      2.42e-01    3.3e-03
  43000      5.54e+00      1.25e-02      2.15e-01    3.3e-03
  43100      6.39e+00      4.31e-04      2.48e-01    3.3e-03
